ticker,isin,code_cvm,issuing_company,trading_name,market
BBAS11,BRBBASA04OR8,1023,BBAS,BRASIL,NOVO MERCADO
BBAS12,BRBBASA05OR5,1023,BBAS,BRASIL,NOVO MERCADO
BBAS3,BRBBASACNOR3,1023,BBAS,BRASIL,NOVO MERCADO
ALPA3,BRALPAACNOR0,10456,ALPA,ALPARGATAS,BOVESPA NIVEL 1
ALPA4,BRALPAACNPR7,10456,ALPA,ALPARGATAS,BOVESPA NIVEL 1
SOND3,BRSONDACNOR5,10880,SOND,SONDOTECNICA,BOLSA
SOND5,BRSONDACNPA8,10880,SOND,SONDOTECNICA,BOLSA
SOND6,BRSONDACNPB6,10880,SOND,SONDOTECNICA,BOLSA
WLMM3,BRWLMMACNOR6,11070,WLMM,WLM IND COM,BOLSA
WLMM4,BRWLMMACNPR3,11070,WLMM,WLM IND COM,BOLSA
BGIP3,BRBGIPACNOR1,1120,BGIP,BANESE,BOLSA
BGIP4,BRBGIPACNPR8,1120,BGIP,BANESE,BOLSA
BGIP2,BRBGIPD10PR4,1120,BGIP,BANESE,BOLSA
BGIP1,BRBGIPD11OR5,1120,BGIP,BANESE,BOLSA
TKNO3,BRTKNOACNOR8,11231,TKNO,TEKNO,BOLSA
TKNO4,BRTKNOACNPR5,11231,TKNO,TEKNO,BOLSA
TELB3,BRTELBACNOR2,11258,TELB,TELEBRAS,BOLSA
TELB4,BRTELBACNPR9,11258,TELB,TELEBRAS,BOLSA
OIBR3,BROIBRACNOR1,11312,OIBR,OI,BOVESPA NIVEL 1
OIBR4,BROIBRACNPR8,11312,OIBR,OI,BOVESPA NIVEL 1
CRPG3,BRCRPGACNOR0,11398,CRPG,CRISTAL,BOLSA
CRPG5,BRCRPGACNPA3,11398,CRPG,CRISTAL,BOLSA
CRPG6,BRCRPGACNPB1,11398,CRPG,CRISTAL,BOLSA
BEES3,BRBEESACNOR9,1155,BEES,BANESTES,BOLSA
BEES4,BRBEESACNPR6,1155,BEES,BANESTES,BOLSA
UNIP3,BRUNIPACNOR7,11592,UNIP,UNIPAR,BOLSA
UNIP5,BRUNIPACNPA0,11592,UNIP,UNIPAR,BOLSA
UNIP6,BRUNIPACNPB8,11592,UNIP,UNIPAR,BOLSA
BPAR3,BRBPARACNOR5,1171,BPAR,BANPARA,BOLSA
VULC3,BRVULCACNOR2,11762,VULC,VULCABRAS,NOVO MERCADO
MYPK3,BRMYPKACNOR7,11932,MYPK,IOCHP-MAXION,NOVO MERCADO
