empresa,ticker,ticker_bdr,isin,isin_bdr,paridade_a_o_bdr,pa_s,tipo_investidor,banco_deposit_rio,bolsa_de_origem,setor
3M COMPANY,MMM,MMMC34,US88579Y1010,BRMMMCBDR000,1:4,USA,Investidor em Geral,Banco B3,NYSE,Conglomerado
ABB LTD,ABB,A1BB34,US0003752047,BRA1BBBDR009,1:4,CHE,Investidor em Geral,Banco B3,NYSE,Industrial
ABBOTT LABORATORIES,ABT,ABTT34,US0028241000,BRABTTBDR007,1:12,USA,Investidor em Geral,Banco B3,NYSE,Farmacêutico
ABBVIE INC.,ABBV,ABBV34,US00287Y1091,BRABBVBDR001,1:16,USA,Investidor em Geral,Banco B3,NYSE,Farmacêutico
ABN AMRO BANK N.V,ABN,ABAM34,NL0011540547,BRABAMBDR002,1:1,NL,Investidor em Geral,Bradesco,Euronext,-
Academy Sports & Outdoors Inc,ASO,A2SO34,US00402L1070,BRA2SOBDR004,1:4,USA,Investidor em Geral,Banco B3,NASDAQ GS,Entretenimento
ACCENTURE PLC,ACN,ACNB34,IE00B4BNMY4,BRACNBBDR006,1:1,IE,Investidor em Geral,Bradesco,NYSE,Tecnologia da Informação/Programas e Serviços
ACTIVISION BLIZZARD INC,ATVI,ATVI34,US00507V1098,BRATVIBDR008,1:1,USA,Investidor em Geral,Banco B3,NASDAQ,Tecnologia
ADAPTHEALTH CORP,AHCO,A2HC34,US00653Q1022,BRA2HCBDR002,1:2,USA,Investidor em Geral,Banco B3,NASDAQ GS,Farmacêutico
ADOBE INC,ADBE,ADBE34,US00724F1012,BRADBEBDR003,1:50,USA,Investidor em Geral,Banco B3,NASDAQ,Tecnologia
ADVANCE AUTO PARTS INC,AAP,A1AP34,US00751Y1064,BRA1APBDR001,1:16,USA,Investidor em Geral,Banco B3,NYSE,Auto peças
ADVANCED MICRO DEVICES INC,AMD,A1MD34,US0079031078,BRA1MDBDR002,1:8,USA,Investidor em Geral,Banco B3,NASDAQ,Tecnologia
AEGON NV,AEG,A1EG34,US0079241032,BRA1EGBDR002,1:1,NL,Investidor em Geral,Banco B3,NYSE,Financeiro
AES CORP,AES,A1ES34,US00130H1059,BRA1ESBDR007,1:1,USA,Investidor em Geral,Banco B3,NYSE,Utilidades
