ticker,source
-,bdrs
A,bdrs
AADA39,acoes
AAL,bdrs
AALR1,acoes
AALR3,acoes
AAP,bdrs
AAPL,bdrs
ABB,bdrs
ABBV,bdrs
ABC,bdrs
ABCB4,acoes
ABEV3,acoes
ABGD39,acoes
ABN,bdrs
ABNB,bdrs
ABT,bdrs
ABX,bdrs
ACN,bdrs
ACWX39,acoes
ADBE,bdrs
ADI,bdrs
ADM,bdrs
ADMF3,acoes
ADP,bdrs
ADSK,bdrs
AEE,bdrs
AEG,bdrs
AEP,bdrs
AERI3,acoes
AES,bdrs
AESO3,acoes
AETH39,acoes
AFL,bdrs
AFLT3,acoes
AGRO3,acoes
AGRU-DEB21,acoes
AGXY3,acoes
AHCO,bdrs
AHEB3,acoes
AHEB5,acoes
AHEB6,acoes
AIG,bdrs
AIV,bdrs
AIZ,bdrs
AJG,bdrs
AKAM,bdrs
AKZA,bdrs
ALB,bdrs
ALC,bdrs
ALGN,bdrs
ALK,bdrs
ALL,bdrs
ALLD3,acoes
ALLE,bdrs
ALLFG,bdrs
ALNY,bdrs
ALOS3,acoes
ALPA3,acoes
ALPA4,acoes
ALPK3,acoes
ALUP11,acoes
ALUP3,acoes
ALUP4,acoes
AMAR3,acoes
AMAT,bdrs
AMBA,bdrs
AMBP3,acoes
AMC,bdrs
AMCR,bdrs
AMD,bdrs
AME,bdrs
AMED,bdrs
AMER11,acoes
AMER3,acoes
AMGN,bdrs
AMOB3,acoes
AMP,bdrs
AMRS,bdrs
AMT,bdrs
AMZN,bdrs
ANET,bdrs
ANGV39,acoes
ANIM3,acoes
ANSS,bdrs
AON,bdrs
AOS,bdrs
APA,bdrs
APD,bdrs
APH,bdrs
APTI3,acoes
APTI4,acoes
APTV,bdrs
ARE,bdrs
ARES,bdrs
ARGT39,acoes
ARGX,bdrs
ARML3,acoes
ARND3,acoes
ARW,bdrs
ARWR,bdrs
ASAI3,acoes
ASML,bdrs
ASND,bdrs
ASO,bdrs
ASR,bdrs
ATED3,acoes
ATHM,bdrs
ATO,bdrs
ATR,bdrs
ATVI,bdrs
AU,bdrs
AUAU3,acoes
AUAU99,acoes
AURA33,acoes
AURE3,acoes
AURE99,acoes
AVB,bdrs
AVGO,bdrs
AVLL11,acoes
AVLL12,acoes
AVLL3,acoes
AVY,bdrs
AWI,bdrs
AWK,bdrs
AXIA3,acoes
AXIA5,acoes
AXIA6,acoes
AXIA7,acoes
AXIA98,acoes
AXIA99,acoes
AXON,bdrs
AXP,bdrs
AXRP39,acoes
AYX,bdrs
AZEV11,acoes
AZEV12,acoes
AZEV3,acoes
AZEV4,acoes
AZN,bdrs
AZO,bdrs
AZTA,bdrs
AZTE11,acoes
AZTE3,acoes
AZUL53,acoes
AZUL80,acoes
AZZA3,acoes
B3SA3,acoes
BA,bdrs
BAAX39,acoes
BABA,bdrs
BAC,bdrs
BACW39,acoes
BAER39,acoes
BAGG39,acoes
BAGY39,acoes
BAH,bdrs
BAIQ39,acoes
BAIR39,acoes
BALL,bdrs
BALM3,acoes
BALM4,acoes
BAOA39,acoes
BAOK39,acoes
BAOM39,acoes
BAOR39,acoes
BAP,bdrs
BARY39,acoes
BASK39,acoes
BAUH3,acoes
BAUH4,acoes
BAX,bdrs
BAZA3,acoes
BBAJ39,acoes
BBAS11,acoes
BBAS12,acoes
BBAS3,acoes
BBCN39,acoes
BBDC3,acoes
BBDC4,acoes
BBER39,acoes
BBGR39,acoes
BBIL39,acoes
BBJP39,acoes
BBML3,acoes
BBMR39,acoes
BBSE3,acoes
BBUG39,acoes
BBUS39,acoes
BBVA,bdrs
BBWI,bdrs
BBY,bdrs
BCAT39,acoes
BCHA39,acoes
BCHI39,acoes
BCHQ39,acoes
BCIR39,acoes
BCLO39,acoes
BCNY39,acoes
BCOM39,acoes
BCPC,bdrs
BCPX39,acoes
BCRB39,acoes
BCRP39,acoes
BCS,bdrs
BCTE39,acoes
BCWV39,acoes
BDLL3,acoes
BDLL4,acoes
BDRE39,acoes
BDRI39,acoes
BDVD39,acoes
BDVE39,acoes
BDVY39,acoes
BDX,bdrs
BEAG39,acoes
BECH39,acoes
BEEF11,acoes
BEEF3,acoes
BEEM39,acoes
BEES3,acoes
BEES4,acoes
BEFA39,acoes
BEFG39,acoes
BEFV39,acoes
BEGD39,acoes
BEGE39,acoes
BEGU39,acoes
BEIS39,acoes
BEMC39,acoes
BEME39,acoes
BEMV39,acoes
BEN,bdrs
BEPP39,acoes
BEPU39,acoes
BEQW39,acoes
BERU39,acoes
BETP3,acoes
BEUA39,acoes
BEUF39,acoes
BEUR39,acoes
BEUW39,acoes
BEWA39,acoes
BEWC39,acoes
BEWD39,acoes
BEWG39,acoes
BEWH39,acoes
BEWI39,acoes
BEWJ39,acoes
BEWL39,acoes
BEWM39,acoes
BEWN39,acoes
BEWO39,acoes
BEWP39,acoes
BEWQ39,acoes
BEWS39,acoes
BEWT39,acoes
BEWU39,acoes
BEWW39,acoes
BEWY39,acoes
BEWZ39,acoes
BEZA39,acoes
BEZU39,acoes
BF/B,bdrs
BFAL39,acoes
BFAV39,acoes
BFBI39,acoes
BFCG39,acoes
BFDA39,acoes
BFDL39,acoes
BFDN39,acoes
BFEM39,acoes
BFH,bdrs
BFIW39,acoes
BFLO39,acoes
BFNX39,acoes
BFPI39,acoes
BFPX39,acoes
BFTA39,acoes
BFTC39,acoes
BFTG39,acoes
BFTS39,acoes
BFVD39,acoes
BFXH39,acoes
BFXI39,acoes
BGAR39,acoes
BGIP1,acoes
BGIP2,acoes
BGIP3,acoes
BGIP4,acoes
BGLC39,acoes
BGNE,bdrs
BGNO39,acoes
BGOV39,acoes
BGOZ39,acoes
BGRI39,acoes
BGRT39,acoes
BGWH39,acoes
BHDV39,acoes
